School,Gender,Age,Address,Family_Size,Parental_Status,Mother_Education,Father_Education,Travel_Time,Study_Time,Number_of_Failures,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out,Mother_Job_health,Mother_Job_other,Mother_Job_services,Mother_Job_teacher,Father_Job_health,Father_Job_other,Father_Job_services,Father_Job_teacher,Reason_for_Choosing_School_home,Reason_for_Choosing_School_other,Reason_for_Choosing_School_reputation,Guardian_mother,Guardian_other
0,0,18,1,0,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4.0,0,11,11,0,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,17,1,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2.0,9,11,11,0,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,15,1,1,1,1,1,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6.0,12,13,12,0,False,False,False,False,False,True,False,False,False,True,False,True,False
0,0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0.0,14,14,14,0,True,False,False,False,False,False,True,False,True,False,False,True,False
0,0,16,1,0,1,3,3,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0.0,11,13,13,0,False,True,False,False,False,True,False,False,True,False,False,False,False
0,1,16,1,1,1,4,3,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6.0,12,12,13,0,False,False,True,False,False,True,False,False,False,False,True,True,False
0,1,16,1,1,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0.0,13,12,13,0,False,True,False,False,False,True,False,False,True,False,False,True,False
0,0,17,1,0,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2.0,10,13,13,0,False,True,False,False,False,False,False,True,True,False,False,True,False
0,1,15,1,1,0,3,2,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0.0,15,16,17,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,1,15,1,0,1,3,4,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0.0,12,12,13,0,False,True,False,False,False,True,False,False,True,False,False,True,False
0,0,15,1,0,1,4,4,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2.0,14,14,14,0,False,False,False,True,True,False,False,False,False,False,True,True,False
